"transport","scenario","request_id","dry_run","http_status","mcp_status","applied_count","skipped_count","warning_count","error_count","prep_ms","json_ms","transport_ms","parse_ms","total_ms","error"
"http","tint_update_apply","http-apply-5","False","200","TransportError","0","0","0","0","0.004","0.095","5.846","0.2","6.146","Response is not valid JSON."
"named_pipe","baseline_noop","named_pipe-baseline-1","True","0","TransportError","0","0","0","0","0.877","0.093","22.393","0.408","23.772","Response is not valid JSON."
"named_pipe","baseline_noop","named_pipe-baseline-2","True","0","TransportError","0","0","0","0","0.021","0.098","2.268","0.328","2.715","Response is not valid JSON."
"named_pipe","baseline_noop","named_pipe-baseline-3","True","0","TransportError","0","0","0","0","0.019","0.097","4.887","0.337","5.339","Response is not valid JSON."
"named_pipe","baseline_noop","named_pipe-baseline-4","True","0","TransportError","0","0","0","0","0.015","0.098","1.743","0.223","2.08","Response is not valid JSON."
"named_pipe","baseline_noop","named_pipe-baseline-5","True","0","TransportError","0","0","0","0","0.015","0.064","4.661","0.232","4.973","Response is not valid JSON."
"named_pipe","baseline_noop","named_pipe-baseline-6","True","0","TransportError","0","0","0","0","0.014","0.078","2.451","0.229","2.773","Response is not valid JSON."
"named_pipe","baseline_noop","named_pipe-baseline-7","True","0","TransportError","0","0","0","0","0.014","0.064","4.832","0.332","5.241","Response is not valid JSON."
"named_pipe","baseline_noop","named_pipe-baseline-8","True","0","TransportError","0","0","0","0","0.016","0.076","2.265","0.237","2.595","Response is not valid JSON."
"named_pipe","baseline_noop","named_pipe-baseline-9","True","0","TransportError","0","0","0","0","0.013","0.067","5.394","0.211","5.686","Response is not valid JSON."
"named_pipe","baseline_noop","named_pipe-baseline-10","True","0","TransportError","0","0","0","0","0.014","0.061","1.985","0.208","2.268","Response is not valid JSON."
"named_pipe","tint_update_dry_run","named_pipe-dry-1","True","0","TransportError","0","0","0","0","0.013","0.076","6.123","0.224","6.437","Response is not valid JSON."
"named_pipe","tint_update_apply","named_pipe-apply-1","False","0","TransportError","0","0","0","0","0.015","0.071","1.822","0.217","2.124","Response is not valid JSON."
"named_pipe","tint_update_dry_run","named_pipe-dry-2","True","0","TransportError","0","0","0","0","0.012","0.071","6.039","0.241","6.363","Response is not valid JSON."
"named_pipe","tint_update_apply","named_pipe-apply-2","False","0","TransportError","0","0","0","0","0.014","0.083","1.754","0.242","2.093","Response is not valid JSON."
"named_pipe","tint_update_dry_run","named_pipe-dry-3","True","0","TransportError","0","0","0","0","0.02","0.098","6.796","0.241","7.155","Response is not valid JSON."
"named_pipe","tint_update_apply","named_pipe-apply-3","False","0","TransportError","0","0","0","0","0.012","0.08","1.907","0.23","2.229","Response is not valid JSON."
"named_pipe","tint_update_dry_run","named_pipe-dry-4","True","0","TransportError","0","0","0","0","0.016","0.074","5.732","0.239","6.061","Response is not valid JSON."
"named_pipe","tint_update_apply","named_pipe-apply-4","False","0","TransportError","0","0","0","0","0.015","0.073","1.301","0.246","1.635","Response is not valid JSON."
"named_pipe","tint_update_dry_run","named_pipe-dry-5","True","0","TransportError","0","0","0","0","0.02","0.08","5.514","0.226","5.84","Response is not valid JSON."
"named_pipe","tint_update_apply","named_pipe-apply-5","False","0","TransportError","0","0","0","0","0.016","0.073","1.719","0.193","2.002","Response is not valid JSON."
